Data; Wartość; Rodzaj;
2023-10-05 16:00;0,0000;pobrana [kWh];
2023-10-05 16:15;0,0000;pobrana [kWh];
2023-10-05 16:30;0,0000;pobrana [kWh];
2023-10-05 16:45;0,0000;pobrana [kWh];
2023-10-05 17:00;0,0000;pobrana [kWh];
2023-10-05 17:15;0,0000;pobrana [kWh];
2023-10-05 17:30;0,0000;pobrana [kWh];
2023-10-05 17:45;0,0000;pobrana [kWh];
2023-10-05 18:00;0,0020;pobrana [kWh];
2023-10-05 18:15;0,0200;pobrana [kWh];
2023-10-05 18:30;0,0250;pobrana [kWh];
2023-10-05 18:45;0,0330;pobrana [kWh];
2023-10-05 19:00;0,0260;pobrana [kWh];
2023-10-05 19:15;0,0210;pobrana [kWh];
2023-10-05 19:30;0,0210;pobrana [kWh];
2023-10-05 19:45;0,0200;pobrana [kWh];
2023-10-05 20:00;0,0210;pobrana [kWh];
2023-10-05 20:15;0,0210;pobrana [kWh];
2023-10-05 20:30;0,0230;pobrana [kWh];
2023-10-05 20:45;0,0320;pobrana [kWh];
2023-10-05 21:00;0,0250;pobrana [kWh];
2023-10-05 21:15;0,0210;pobrana [kWh];
2023-10-05 21:30;0,0200;pobrana [kWh];
2023-10-05 21:45;0,0210;pobrana [kWh];
2023-10-05 22:00;0,0220;pobrana [kWh];
2023-10-05 22:15;0,0210;pobrana [kWh];
2023-10-05 22:30;0,0230;pobrana [kWh];
2023-10-05 22:45;0,0320;pobrana [kWh];
2023-10-05 23:00;0,0240;pobrana [kWh];
2023-10-05 23:15;0,0210;pobrana [kWh];
2023-10-05 23:30;0,0210;pobrana [kWh];
2023-10-05 23:45;0,0220;pobrana [kWh];
2023-10-06 00:00;0,0210;pobrana [kWh];
2023-10-06 00:15;0,0220;pobrana [kWh];
2023-10-06 00:30;0,0240;pobrana [kWh];
2023-10-06 00:45;0,0320;pobrana [kWh];
2023-10-06 01:00;0,0250;pobrana [kWh];
2023-10-06 01:15;0,0210;pobrana [kWh];
2023-10-06 01:30;0,0210;pobrana [kWh];
2023-10-06 01:45;0,0220;pobrana [kWh];
2023-10-06 02:00;0,0210;pobrana [kWh];
2023-10-06 02:15;0,0210;pobrana [kWh];
2023-10-06 02:30;0,0220;pobrana [kWh];
2023-10-06 02:45;0,0330;pobrana [kWh];
2023-10-06 03:00;0,0270;pobrana [kWh];
2023-10-06 03:15;0,0210;pobrana [kWh];
2023-10-06 03:30;0,0220;pobrana [kWh];
2023-10-06 03:45;0,0210;pobrana [kWh];
2023-10-06 04:00;0,0210;pobrana [kWh];
2023-10-06 04:15;0,0210;pobrana [kWh];
2023-10-06 04:30;0,0210;pobrana [kWh];
2023-10-06 04:45;0,0310;pobrana [kWh];
2023-10-06 05:00;0,0280;pobrana [kWh];
2023-10-06 05:15;0,0200;pobrana [kWh];
2023-10-06 05:30;0,0210;pobrana [kWh];
2023-10-06 05:45;0,0210;pobrana [kWh];
2023-10-06 06:00;0,0210;pobrana [kWh];
2023-10-06 06:15;0,0210;pobrana [kWh];
2023-10-06 06:30;0,0210;pobrana [kWh];
2023-10-06 06:45;0,0290;pobrana [kWh];
2023-10-06 07:00;0,0330;pobrana [kWh];
2023-10-06 07:15;0,0230;pobrana [kWh];
2023-10-06 07:30;0,0110;pobrana [kWh];
2023-10-06 07:45;0,0000;pobrana [kWh];
2023-10-06 08:00;0,0060;pobrana [kWh];
2023-10-06 08:15;0,0000;pobrana [kWh];
2023-10-06 08:30;0,0000;pobrana [kWh];
2023-10-06 08:45;0,0000;pobrana [kWh];
2023-10-06 09:00;0,0000;pobrana [kWh];
2023-10-06 09:15;0,0990;pobrana [kWh];
2023-10-06 09:30;0,0000;pobrana [kWh];
2023-10-06 09:45;0,0260;pobrana [kWh];
2023-10-06 10:00;0,0010;pobrana [kWh];
2023-10-06 10:15;0,0000;pobrana [kWh];
2023-10-06 10:30;0,0000;pobrana [kWh];
2023-10-06 10:45;0,0000;pobrana [kWh];
2023-10-06 11:00;0,0000;pobrana [kWh];
2023-10-06 11:15;0,0000;pobrana [kWh];
2023-10-06 11:30;0,0000;pobrana [kWh];
2023-10-06 11:45;0,0000;pobrana [kWh];
2023-10-06 12:00;0,0020;pobrana [kWh];
2023-10-06 12:15;0,0010;pobrana [kWh];
2023-10-06 12:30;0,0000;pobrana [kWh];
2023-10-06 12:45;0,0440;pobrana [kWh];
2023-10-06 13:00;0,0000;pobrana [kWh];
2023-10-06 13:15;0,0000;pobrana [kWh];
2023-10-06 13:30;0,0000;pobrana [kWh];
2023-10-06 13:45;0,0000;pobrana [kWh];
2023-10-06 14:00;0,0000;pobrana [kWh];
2023-10-06 14:15;0,0000;pobrana [kWh];
2023-10-06 14:30;0,0000;pobrana [kWh];
2023-10-06 14:45;0,0000;pobrana [kWh];
2023-10-06 15:00;0,0000;pobrana [kWh];
2023-10-06 15:15;0,0000;pobrana [kWh];
2023-10-06 15:30;0,0000;pobrana [kWh];
2023-10-06 15:45;0,0000;pobrana [kWh];
2023-10-06 16:00;0,0000;pobrana [kWh];
2023-10-06 16:15;0,0000;pobrana [kWh];
2023-10-06 16:30;0,0000;pobrana [kWh];
2023-10-06 16:45;0,0000;pobrana [kWh];
2023-10-06 17:00;0,0000;pobrana [kWh];
2023-10-06 17:15;0,0000;pobrana [kWh];
2023-10-06 17:30;0,0000;pobrana [kWh];
2023-10-06 17:45;0,0000;pobrana [kWh];
2023-10-06 18:00;0,0030;pobrana [kWh];
2023-10-06 18:15;0,0190;pobrana [kWh];
2023-10-06 18:30;0,0200;pobrana [kWh];
2023-10-06 18:45;0,0220;pobrana [kWh];
2023-10-06 19:00;0,0320;pobrana [kWh];
2023-10-06 19:15;0,0240;pobrana [kWh];
2023-10-06 19:30;0,0190;pobrana [kWh];
2023-10-06 19:45;0,0200;pobrana [kWh];
2023-10-06 20:00;0,0190;pobrana [kWh];
2023-10-06 20:15;0,0190;pobrana [kWh];
2023-10-06 20:30;0,0200;pobrana [kWh];
2023-10-06 20:45;0,0200;pobrana [kWh];
2023-10-06 21:00;0,0290;pobrana [kWh];
2023-10-06 21:15;0,0270;pobrana [kWh];
2023-10-06 21:30;0,0190;pobrana [kWh];
2023-10-06 21:45;0,0200;pobrana [kWh];
2023-10-06 22:00;0,0200;pobrana [kWh];
2023-10-06 22:15;0,0190;pobrana [kWh];
2023-10-06 22:30;0,0200;pobrana [kWh];
2023-10-06 22:45;0,0190;pobrana [kWh];
2023-10-06 23:00;0,0290;pobrana [kWh];
2023-10-06 23:15;0,0270;pobrana [kWh];
2023-10-06 23:30;0,0200;pobrana [kWh];
2023-10-06 23:45;0,0200;pobrana [kWh];
2023-10-07 00:00;0,0190;pobrana [kWh];
2023-10-07 00:15;0,0200;pobrana [kWh];
2023-10-07 00:30;0,0200;pobrana [kWh];
2023-10-07 00:45;0,0200;pobrana [kWh];
2023-10-07 01:00;0,0260;pobrana [kWh];
2023-10-07 01:15;0,0300;pobrana [kWh];
2023-10-07 01:30;0,0210;pobrana [kWh];
2023-10-07 01:45;0,0200;pobrana [kWh];
2023-10-07 02:00;0,0200;pobrana [kWh];
2023-10-07 02:15;0,0200;pobrana [kWh];
2023-10-07 02:30;0,0200;pobrana [kWh];
2023-10-07 02:45;0,0200;pobrana [kWh];
2023-10-07 03:00;0,0210;pobrana [kWh];
2023-10-07 03:15;0,0320;pobrana [kWh];
2023-10-07 03:30;0,0230;pobrana [kWh];
2023-10-07 03:45;0,0200;pobrana [kWh];
2023-10-07 04:00;0,0200;pobrana [kWh];
2023-10-07 04:15;0,0200;pobrana [kWh];
2023-10-07 04:30;0,0200;pobrana [kWh];
2023-10-07 04:45;0,0190;pobrana [kWh];
2023-10-07 05:00;0,0200;pobrana [kWh];
2023-10-07 05:15;0,0300;pobrana [kWh];
2023-10-07 05:30;0,0260;pobrana [kWh];
2023-10-07 05:45;0,0200;pobrana [kWh];
2023-10-07 06:00;0,0200;pobrana [kWh];
2023-10-07 06:15;0,0200;pobrana [kWh];
2023-10-07 06:30;0,0200;pobrana [kWh];
2023-10-07 06:45;0,0200;pobrana [kWh];
2023-10-07 07:00;0,0220;pobrana [kWh];
2023-10-07 07:15;0,0250;pobrana [kWh];
2023-10-07 07:30;0,0060;pobrana [kWh];
2023-10-07 07:45;0,0000;pobrana [kWh];
2023-10-07 08:00;0,0000;pobrana [kWh];
2023-10-07 08:15;0,0000;pobrana [kWh];
2023-10-07 08:30;0,0000;pobrana [kWh];
2023-10-07 08:45;0,0000;pobrana [kWh];
2023-10-07 09:00;0,0000;pobrana [kWh];
2023-10-07 09:15;0,0000;pobrana [kWh];
2023-10-07 09:30;0,0000;pobrana [kWh];
2023-10-07 09:45;0,0000;pobrana [kWh];
2023-10-07 10:00;0,0000;pobrana [kWh];
2023-10-07 10:15;0,0000;pobrana [kWh];
2023-10-07 10:30;0,0000;pobrana [kWh];
2023-10-07 10:45;0,0000;pobrana [kWh];
